,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Apr 23, 2021",132.16,135.12,132.16,134.32,134.32,"78,657,500"
1,"Apr 22, 2021",133.04,134.15,131.41,131.94,131.94,"84,566,500"
2,"Apr 21, 2021",132.36,133.75,131.30,133.50,133.50,"68,847,100"
3,"Apr 20, 2021",135.02,135.53,131.81,133.11,133.11,"94,812,300"
4,"Apr 19, 2021",133.51,135.47,133.34,134.84,134.84,"94,264,200"
5,"Apr 16, 2021",134.30,134.67,133.28,134.16,134.16,"84,818,500"
6,"Apr 15, 2021",133.82,135.00,133.64,134.50,134.50,"89,347,100"
7,"Apr 14, 2021",134.94,135.00,131.66,132.03,132.03,"87,222,800"
8,"Apr 13, 2021",132.44,134.66,131.93,134.43,134.43,"91,266,500"
9,"Apr 12, 2021",132.52,132.85,130.63,131.24,131.24,"91,420,000"
10,"Apr 09, 2021",129.80,133.04,129.47,133.00,133.00,"106,513,800"
11,"Apr 08, 2021",128.95,130.39,128.52,130.36,130.36,"88,844,600"
12,"Apr 07, 2021",125.83,127.92,125.14,127.90,127.90,"83,466,700"
13,"Apr 06, 2021",126.50,127.13,125.65,126.21,126.21,"80,171,300"
14,"Apr 05, 2021",123.87,126.16,123.07,125.90,125.90,"88,651,200"
15,"Apr 01, 2021",123.66,124.18,122.49,123.00,123.00,"74,957,400"
16,"Mar 31, 2021",121.65,123.52,121.15,122.15,122.15,"118,323,800"
17,"Mar 30, 2021",120.11,120.40,118.86,119.90,119.90,"85,671,900"
18,"Mar 29, 2021",121.65,122.58,120.73,121.39,121.39,"80,819,200"
19,"Mar 26, 2021",120.35,121.48,118.92,121.21,121.21,"93,958,900"
20,"Mar 25, 2021",119.54,121.66,119.00,120.59,120.59,"98,844,700"
21,"Mar 24, 2021",122.82,122.90,120.07,120.09,120.09,"88,530,500"
22,"Mar 23, 2021",123.33,124.24,122.14,122.54,122.54,"95,467,100"
23,"Mar 22, 2021",120.33,123.87,120.26,123.39,123.39,"111,912,300"
24,"Mar 19, 2021",119.90,121.43,119.68,119.99,119.99,"185,023,200"
25,"Mar 18, 2021",122.88,123.18,120.32,120.53,120.53,"121,229,700"
26,"Mar 17, 2021",124.05,125.86,122.34,124.76,124.76,"111,437,500"
27,"Mar 16, 2021",125.70,127.22,124.72,125.57,125.57,"114,740,000"
28,"Mar 15, 2021",121.41,124.00,120.42,123.99,123.99,"92,403,800"
29,"Mar 12, 2021",120.40,121.17,119.16,121.03,121.03,"87,963,400"
30,"Mar 11, 2021",122.54,123.21,121.26,121.96,121.96,"102,753,600"
31,"Mar 10, 2021",121.69,122.17,119.45,119.98,119.98,"111,760,400"
32,"Mar 09, 2021",119.03,122.06,118.79,121.09,121.09,"129,159,600"
33,"Mar 08, 2021",120.93,121.00,116.21,116.36,116.36,"153,918,600"
34,"Mar 05, 2021",120.98,121.94,117.57,121.42,121.42,"153,590,400"
35,"Mar 04, 2021",121.75,123.60,118.62,120.13,120.13,"177,275,300"
36,"Mar 03, 2021",124.81,125.71,121.84,122.06,122.06,"112,430,400"
37,"Mar 02, 2021",128.41,128.72,125.01,125.12,125.12,"102,015,300"
38,"Mar 01, 2021",123.75,127.93,122.79,127.79,127.79,"115,998,300"
39,"Feb 26, 2021",122.59,124.85,121.20,121.26,121.26,"164,320,000"
40,"Feb 25, 2021",124.68,126.46,120.54,120.99,120.99,"148,199,500"
41,"Feb 24, 2021",124.94,125.56,122.23,125.35,125.35,"111,039,900"
42,"Feb 23, 2021",123.76,126.71,118.39,125.86,125.86,"158,273,000"
43,"Feb 22, 2021",128.01,129.72,125.60,126.00,126.00,"103,916,400"
44,"Feb 19, 2021",130.24,130.71,128.80,129.87,129.87,"87,668,800"
45,"Feb 18, 2021",129.20,130.00,127.41,129.71,129.71,"96,856,700"
46,"Feb 17, 2021",131.25,132.22,129.47,130.84,130.84,"97,918,500"
47,"Feb 16, 2021",135.49,136.01,132.79,133.19,133.19,"80,576,300"
48,"Feb 12, 2021",134.35,135.53,133.69,135.37,135.37,"60,029,300"
49,"Feb 11, 2021",135.90,136.39,133.77,135.13,135.13,"64,154,400"
50,"Feb 10, 2021",136.48,136.99,134.40,135.39,135.39,"73,046,600"
51,"Feb 09, 2021",136.62,137.88,135.85,136.01,136.01,"76,774,200"
